datetime,CALL_open,CALL_high,CALL_low,CALL_close,CALL_volume,CALL_oi,CALL_iv,strike,spot,PUT_open,PUT_high,PUT_low,PUT_close,PUT_volume,PUT_oi,PUT_iv
2023-02-01 09:15:00,339.9,359.0,301.2,317.9,208800,813750,15.438869,17800.0,17783.25,259.9,278.75,223.9,241.75,253200,1377700,16.321218
2023-02-01 09:30:00,350.0,350.0,321.0,336.95,15500,78700,15.41857,17750.0,17768.9492,222.0,247.55,222.0,225.2,30750,65600,16.295032
2023-02-01 09:45:00,336.95,349.95,313.05,338.65,56350,77900,15.816572,17750.0,17760.25,225.2,244.0,218.65,225.4,56900,66950,16.09461
2023-02-01 10:00:00,338.65,344.55,310.65,321.15,137900,888050,15.478116,17800.0,17788.3008,225.4,242.7,220.65,234.1,172800,1509100,16.014855
2023-02-01 10:15:00,321.15,335.0,314.7,331.4,122100,901700,15.445216,17800.0,17807.4492,234.15,236.55,217.7,220.2,238450,1591850,15.690779
2023-02-01 10:30:00,331.4,334.5,317.1,325.9,100650,927350,15.262738,17800.0,17803.5,220.2,228.8,216.7,222.4,188950,1639800,15.723019
2023-02-01 10:45:00,326.3,338.0,326.15,332.35,122900,932700,15.3853,17800.0,17811.1992,222.35,225.8,212.8,222.45,173350,1675700,15.918949
2023-02-01 11:00:00,332.6,347.1,308.0,328.25,100500,950750,15.413038,17800.0,17803.4004,222.3,231.95,207.35,223.45,159350,1711600,15.786289
2023-02-01 11:15:00,328.25,344.65,305.45,315.4,105050,957350,15.352173,17800.0,17782.75,223.45,246.45,216.35,235.2,141600,1569150,15.949641
2023-02-01 11:30:00,315.4,325.2,312.35,317.95,186700,947100,14.964758,17800.0,17799.1992,235.2,235.2,217.0,223.35,166250,1581350,15.680549
2023-02-01 11:45:00,317.0,326.6,309.55,318.6,104650,949300,14.803889,17800.0,17805.3008,223.35,227.75,213.55,216.7,125050,1584750,15.448381
2023-02-01 12:00:00,318.6,349.5,308.45,330.0,98500,74300,15.604597,17750.0,17752.9492,216.7,229.2,208.0,222.6,108450,75800,15.771947
2023-02-01 12:15:00,330.0,333.0,281.05,318.0,101950,73850,14.637185,17850.0,17858.0,222.6,244.65,200.25,205.0,84200,37850,14.80441
2023-02-01 12:30:00,288.0,333.25,288.0,313.0,201700,704950,14.453946,17900.0,17903.4492,227.6,227.6,186.95,201.2,151000,772000,14.441024
2023-02-01 12:45:00,313.0,324.95,288.0,312.15,54200,87700,13.852729,17950.0,17968.4492,201.15,214.1,192.45,203.0,51300,53400,14.878979
2023-02-01 13:00:00,312.15,326.0,292.1,315.0,78400,675350,14.17179,17900.0,17915.5508,203.0,211.6,189.6,198.6,46600,790800,14.589329
2023-02-01 13:15:00,316.0,333.0,286.45,311.4,148600,957350,14.315091,17800.0,17808.25,198.6,216.2,190.05,207.35,243300,1771500,14.990515
